id,steam_rva,kind,name,notes
1020,0x00039D20,func,,
1021,0x00039DC0,func,,
1022,0x00039E60,func,,
1023,0x00039EE0,func,,
1024,0x00039F00,func,,
1025,0x00039F30,func,,
1026,0x00039FD0,func,,
1027,0x0003A050,func,,
1028,0x0003A090,func,,
1029,0x0003A2D0,func,,
1030,0x0003A330,func,,
1031,0x0003A3D0,func,,
1032,0x0003A420,func,,
1033,0x0003A510,func,,
1034,0x0003A540,func,,
1035,0x0003A5F0,func,,
1036,0x0003A6A0,func,,
1037,0x0003A720,func,,
1038,0x0003A780,func,,
1039,0x0003A7F0,func,,
1040,0x0003A840,func,,
1041,0x0003A860,func,,
1042,0x0003A8C0,func,,
1043,0x0003A910,func,,
1044,0x0003A990,func,,
1045,0x0003AA10,func,,
1046,0x0003AA80,func,,
1047,0x0003AB20,func,,
1048,0x0003AB90,func,,
1049,0x0003AC90,func,,
1050,0x0003AE60,func,,
1051,0x0003AEA0,func,,
